sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28167,42.378098,-118.13759,-8,1427.138,5.710116,22.1607,132,6.6030374,3.2010195,0
28168,42.400585,-117.99277,-8,1384.5,5.740682,0.8063999,0,0,0,4.088376618
28169,42.422928,-117.84785,-8,1410.8,5.4567304,0.059616,0,0,0,15.69572727
28170,42.44512,-117.70282,-8,1343.6666,5.7424464,4.1778007,42,11.223345,12.959758,28.76116882
28171,42.46717,-117.557686,-8,1478.174,6.058782,34.1352,144,4.538621,2.8602605,39.25763635
28172,42.48908,-117.41246,-7,1496,6.032923,0.9477,0,0,0,51.80601297
28173,42.510834,-117.26712,-8,1470.5714,5.631486,7.6347,54,7.5843763,8.542721,97.11412332
28174,42.532448,-117.12169,-7,1468.1212,5.158697,39.911617,186,5.291005,2.4508462,59.42796749
28175,42.553917,-116.97615,-7,1617.875,5.568549,62.028,222,4.0417943,2.326533,63.55407789
28176,42.575237,-116.830505,-7,1707,5.958275,24.638401,96,4.339748,4.265318,76.26546099
28177,42.596413,-116.68477,-7,1687.2858,5.135196,16.1631,120,8.99503,2.2817447,54.96460387
28178,42.61744,-116.538925,-7,1780.9474,6.2982254,10.5003,72,7.5843763,2.3703468,58.11789606
28179,42.63832,-116.39299,-7,1835.3334,7.051161,2.8727999,42,15.250545,7.378884,47.76524671
28182,42.700085,-115.95459,-7,1127.6666,5.871094,65.4057,216,3.5598273,2.4980614,28.8021948
28183,42.72038,-115.80827,-7,1048.5,5.832195,120.09241,246,2.217139,2.2125878,27.54484415
28184,42.74052,-115.66185,-7,1052.3096,6.065979,93.5091,270,2.9579673,2.4992213,28.94071427
28185,42.76052,-115.515335,-7,1062.8368,6.657471,116.0955,276,2.4011045,2.6185691,20.67615583
28186,42.78037,-115.36871,-7,970.6667,6.447329,106.9929,264,2.4881742,2.9832761,16.98286363
