sc_point_gid,latitude,longitude,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km
46372,36.98629588,-121.2806467,-8,0.545868018,1.30528003,6.555655839
46397,37.59059067,-117.9477065,-8,43.05769365,106.6370815,36.52255193
46398,37.6130052,-117.8131739,-8,7.679879736,21.89787547,24.85343505
46399,37.63528349,-117.6785519,-8,66.63321826,203.1688464,14.94594155
46400,37.6574254,-117.5438407,-8,63.17352158,177.8305298,12.42374675
46401,37.67943082,-117.409041,-8,33.55977524,89.04172884,11.26918831
46402,37.70129963,-117.2741532,-8,54.5413856,145.6128251,12.57396103
46403,37.72303173,-117.1391776,-8,58.58135947,164.0468825,22.04269478
46404,37.74462699,-117.0041149,-8,114.0903035,312.0584571,21.69174024
46405,37.7660853,-116.8689654,-8,75.22786406,190.8593104,15.50668181
46406,37.78740655,-116.7337296,-8,96.63698672,232.2536651,12.74646753
46429,38.23971077,-113.6005945,-7,1.501307982,3.574622243,39.00262336
46430,38.25770961,-113.4634329,-7,3.667788171,8.733022154,21.78548699
46431,38.2755687,-113.3261973,-7,9.186804053,21.81620429,14.26961687
46472,38.88632273,-107.6424035,-7,1.044818921,2.534908188,5.341980515
46473,38.89823073,-107.5025466,-7,1.282931927,3.278651871,2.743675324
46474,38.9099953,-107.3626393,-7,2.119284119,5.740302658,8.219331163
46475,38.92161638,-107.2226823,-7,0.37790997,1.080836712,22.04424674
46477,38.9444278,-106.9426214,-7,0.0018,0.005311567,11.30116882
46482,38.99894049,-106.2416394,-7,0.395802002,1.126850425,0.741837662
46484,39.01973786,-105.9609271,-7,0.654911993,1.742444918,7.97646753
46485,39.02992036,-105.8205049,-7,14.65404302,37.12618854,5.581097398
46486,39.03995866,-105.6800394,-7,25.27597881,61.20263616,2.510954544
46498,39.14914899,-103.9912975,-7,49.8625084,145.0753785,8.150071427
46499,39.15730742,-103.8503243,-7,57.03929033,166.6198452,3.737422074
46500,39.16532087,-103.7093163,-7,57.54231299,167.2249251,3.430142853
46501,39.17318931,-103.5682741,-7,87.72682852,248.6669727,3.011025971
46502,39.18091267,-103.4271983,-7,85.70902676,225.8471673,4.922863633
46503,39.18849092,-103.2860896,-7,10.84414395,26.10627371,7.153675324
46751,36.86578182,-121.3764915,-8,10.6790046,25.65747883,2.945512986
46752,36.89166488,-121.2446084,-8,1.050975,2.514157923,1.961909089
46777,37.49521139,-117.9160464,-8,23.66704907,58.09806696,58.0918571
46778,37.51759773,-117.781694,-8,34.66979956,89.30182296,31.23768178
46779,37.53984796,-117.6472525,-8,6.949260132,19.72413632,26.41322077
46780,37.56196197,-117.5127223,-8,34.24467217,93.09095365,25.00300649
46781,37.58393962,-117.3781038,-8,70.58520352,181.8668956,23.32653896
46782,37.60578081,-117.2433976,-8,50.64627832,132.9097363,23.88307791
46783,37.62748543,-117.1086041,-8,114.0205043,328.4671435,28.91842205
46784,37.64905335,-116.9737237,-8,122.8144148,344.6225473,33.43276621
46785,37.67048447,-116.8387569,-8,90.37800439,229.0107236,28.85071427
46786,37.69177867,-116.7037043,-8,59.25042422,141.9292601,24.58653896
46809,38.14350226,-113.5748762,-7,13.67910044,33.09728298,31.90431816
46810,38.16147772,-113.4379058,-7,49.01757715,121.0313565,16.77837662
46811,38.17931359,-113.3008618,-7,82.5399334,202.1584312,5.161980515
46812,38.19700978,-113.1637446,-7,20.48032793,49.66549739,2.418305192
46851,38.7772259,-107.7647724,-7,1.983816019,4.727270664,3.522792206
46852,38.7892611,-107.6251691,-7,7.984574011,19.24769555,0.127279221
46853,38.80115312,-107.4855151,-7,0.582983954,1.487074268,12.26668181
46855,38.82450739,-107.2060574,-7,0.080144992,0.241718427,24.83049999
46857,38.84728814,-106.9264038,-7,1.335230914,3.896222249,1.617350647
46862,38.90172743,-106.226444,-7,5.190336035,14.64606915,3.358233765
46863,38.91218404,-106.0863151,-7,3.559860022,9.994623183,8.133077913
46864,38.92249675,-105.946142,-7,1.706678998,4.470879471,20.39116882
46865,38.93266551,-105.8059252,-7,3.314663965,8.443354549,17.0185909
46866,38.94269024,-105.6656653,-7,15.24989729,36.516232,14.62742207
46878,39.05173264,-103.9794047,-7,41.33985293,118.7811717,0.853675324
46879,39.05987998,-103.8386394,-7,43.48339453,123.5254728,6.254772721
46880,39.06788255,-103.6978394,-7,67.31536641,185.2555699,13.15873375
46881,39.07574028,-103.5570054,-7,46.96359434,123.5430571,11.42954544
46882,39.08345314,-103.416138,-7,41.29836416,100.2721514,5.474558441
46883,39.09102107,-103.2752377,-7,1.026360015,2.430893803,4.633675324
47043,38.42770202,-80.74271617,-5,0.121896002,0.291599935,3.569116882
47131,36.77115609,-121.3403839,-8,0.506385029,1.195140088,3.911025971
47157,37.39980925,-117.884476,-8,0.429335997,1.023435707,57.95598698
47158,37.42216753,-117.7503033,-8,9.80812804,24.68769394,43.42870776
47159,37.44438984,-117.6160418,-8,0.288036011,0.722117121,41.59562984
47160,37.46647606,-117.481692,-8,22.1008678,55.55813947,36.93307791
47161,37.48842607,-117.3472544,-8,97.17134941,244.529013,36.39682466
47162,37.51023977,-117.2127293,-8,24.48187229,61.24649068,36.72329219
47163,37.53191702,-117.0781174,-8,46.24441479,130.0592192,41.23562984
47164,37.55345773,-116.9434189,-8,91.63666846,247.2994794,45.85011686
47165,37.57486178,-116.8086344,-8,92.21309736,227.0728483,39.94894803
